name,accuracyScore_all,macro_precisionScore_all,macro_recallScore_all,macro_f1Score_all,macro_AUC_all
1702815694,0.9754625905068383,0.9756158481971451,0.9754625905068383,0.975444239208901,0.9993934172961505
1702815694,0.9782783588093322,0.9783757581119393,0.9782783588093321,0.9782759786688171,0.9993253369310618
1702815694,0.9786806114239742,0.97884527580544,0.9786806114239742,0.9786683051624885,0.999575231918211
1702815694,0.9782783588093322,0.9784063855695041,0.9782783588093323,0.9782591081913865,0.9993093180216291
1702815694,0.9766693483507642,0.9768578987736305,0.9766693483507644,0.9766474703156124,0.9995614378573108
1702815694,0.9754625905068383,0.9757093502088424,0.9754625905068383,0.9754495363582495,0.9995827964032208
1702815694,0.9786806114239742,0.9787271409167424,0.9786806114239744,0.9786518656643485,0.9995665105119642
1702815694,0.9766693483507642,0.976786339928947,0.9766693483507641,0.9766678983054754,0.9995187207654904
1702815694,0.9786806114239742,0.9787293137161384,0.9786806114239742,0.9786737249505525,0.9994113940722916
1702815694,0.9778761061946902,0.9780826331800312,0.9778761061946902,0.9778730890585433,0.999519877686727
